   0.76e+1	  0.00e+0
   0.78e+1	  0.06e-20
   0.80e+1	  0.11e-20
   0.82e+1	  0.17e-20
   0.84e+1	  0.25e-20
   0.86e+1	  0.33e-20
   0.88e+1	  0.42e-20   
   0.90e+1	  0.48e-20
   0.92e+1	  0.59e-20
   0.94e+1	  0.67e-20
   0.95e+1	  0.68e-20
   0.96e+1	  0.73e-20
   0.98e+1	  0.79e-20
   0.99e+1	  0.82e-20    
   1.01e+1	  0.93e-20
   1.05e+1	  1.09e-20
   1.10e+1	  1.28e-20
   1.15e+1	  1.48e-20
   1.20e+1	  1.66e-20
   1.27e+1	  1.83e-20
   1.35e+1	  1.98e-20    
   1.42e+1	  2.07e-20
   1.50e+1	  2.28e-20
   1.60e+1	  2.61e-20
   1.70e+1	  2.66e-20
   1.80e+1	  2.77e-20
   1.90e+1	  2.92e-20
   2.00e+1	  2.80e-20   
   2.15e+1	  2.95e-20
   2.30e+1	  3.12e-20
   2.60e+1	  2.93e-20
   2.80e+1	  3.08e-20
   3.00e+1	  3.21e-20
   3.20e+1	  3.02e-20
   3.40e+1	  3.13e-20    
   3.70e+1	  3.08e-20
   4.00e+1	  3.08e-20
   4.30e+1	  3.04e-20
   4.60e+1	  2.88e-20
   5.00e+1	  2.90e-20
   5.50e+1	  2.89e-20
   6.00e+1	  2.77e-20    
   6.50e+1	  2.83e-20
   7.00e+1	  2.89e-20
   7.50e+1	  2.84e-20
   8.10e+1	  2.76e-20
   8.80e+1	  2.58e-20
   9.40e+1	  2.58e-20
   10.0e+1	  2.55e-20   
   10.8e+1	  2.39e-20
   11.7e+1	  2.41e-20
   12.6e+1	  2.25e-20
   13.6e+1	  2.25e-20
   14.7e+1	  2.32e-20
   15.9e+1	  2.33e-20
   17.2e+1	  2.21e-20    
   18.6e+1	  2.15e-20
   20.0e+1	  2.05e-20
   21.6e+1	  1.94e-20
   23.3e+1	  1.84e-20
   25.0e+1	  1.72e-20
   27.0e+1	  1.72e-20
   29.0e+1	  1.63e-20    
   32.0e+1	  1.57e-20
   35.0e+1	  1.47e-20
   38.5e+1	  1.43e-20
   42.5e+1	  1.33e-20
   46.5e+1	  1.25e-20
   51.0e+1	  1.20e-20
   56.0e+1	  1.13e-20   
   60.0e+1	  1.12e-20
   65.0e+1	  1.03e-20
   71.0e+1	  0.97e-20
   77.0e+1	  0.90e-20
   84.0e+1	  0.85e-20
   91.0e+1	  0.73e-20
   100.0e+1	  0.68e-20    
   110.0e+1	  0.65e-20
   120.0e+1	  0.62e-20
   132.0e+1	  0.62e-20
   145.0e+1	  0.57e-20
   160.0e+1	  0.53e-20
   177.5e+1	  0.48e-20
   190.0e+1	  0.45e-20   
   210.0e+1   0.40e-20
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
